nombre,poblacion,area_km2,continente
Comoras,919901,1862.0,África
Benín,13224860,112622.0,África
Estados Unidos,340110988,9372610.0,América
Mayotte,320901,374.0,África
Gambia,2422712,10689.0,África
Uzbekistán,37859698,447400.0,Asia
China,1408280000,9706961.0,Asia
Armenia,3076200,29743.0,Asia
Kosovo,1585566,10908.0,Europa
Francia,68706000,551695.0,Europa
Reunión,896175,2511.0,África
Sri Lanka,21763170,65610.0,Asia
Anguilla,16010,91.0,América
Ciudad del Vaticano,882,0.44,Europa
Colombia,53057212,1141748.0,América
Ucrania,32862000,603500.0,Europa
Djibouti,1066809,23200.0,África
Kirguizistán,7281800,199951.0,Asia
Surinam,616500,163820.0,América
Taiwán,23317031,36193.0,Asia
Burkina Faso,24070553,272967.0,África
Guinea,14363931,245857.0,África
Guayana Francesa,292354,83534.0,América
Países Bajos,18100436,41850.0,Europa
Palau,16733,459.0,Oceanía
Palestina,5483450,6220.0,Asia
Togo,8095498,56785.0,África
Antártida,1300,14000000.0,Antártida
Territorio Británico del Océano Índico,0,60.0,Asia
Rumania,19036031,238391.0,Europa
Hungría,9539502,93028.0,Europa
Vanuatu,321409,12189.0,Oceanía
Corea del Sur,51159889,100210.0,Asia
Mónaco,38423,2.02,Europa
Kenia,53330978,580367.0,África
Islas Faroe,54885,1393.0,Europa
Iran,85961000,1648195.0,Asia
Sint Maarten,41349,34.0,América
Bielorrusia,9109280,207600.0,Europa
Santa Lucía,184100,616.0,América
Estonia,1369995,45227.0,Europa
Argelia,47400000,2381741.0,África
Malta,574250,316.0,Europa
Namibia,3022401,825615.0,África
Sudán del Sur,15786898,619745.0,África
Chipre,1442614,9251.0,Europa
Haití,11867032,27750.0,América
Jersey,103267,116.0,Europa
Líbano,5490000,10452.0,Asia
Liechtenstein,40900,160.0,Europa
Islas Marshall,42418,181.0,Oceanía
Catar,3173024,11586.0,Asia
Nicaragua,6803886,130373.0,América
Maldivas,515132,300.0,Asia
Letonia,1829000,64559.0,Europa
Guinea-Bisáu,1781308,36125.0,África
Portugal,10749635,92090.0,Europa
Guam,153836,549.0,Oceanía
Senegal,18593258,196722.0,África
Islas Georgias del Sur y Sandwich del Sur,0,3903.0,Antártida
Turkmenistán,7057841,488100.0,Asia
Antigua y Barbuda,103603,442.0,América
República Eslovaca,5413813,49037.0,Europa
Ecuador,18103660,276841.0,América
Polinesia Francesa,279500,4167.0,Oceanía
República Centroafricana,6470307,622984.0,África
Malawi,20734262,118484.0,África
Laos,7647000,236800.0,Asia
Islas Pitcairn,35,47.0,Oceanía
Italia,58927633,301336.0,Europa
Georgia,4000921,69700.0,Asia
Polonia,37392000,312679.0,Europa
Wallis y Futuna,11620,142.0,Oceanía
Papúa Nueva Guinea,11781559,462840.0,Oceanía
Níger,26312034,1267000.0,África
Samoa Americana,49710,199.0,Oceanía
Belice,417634,22966.0,América
Alemania,83491249,357114.0,Europa
Eritrea,3607000,117600.0,África
México,130575786,1964375.0,América
Trinidad y Tobago,1367764,5130.0,América
Macao,685900,30.0,Asia
Egipto,107271260,1002450.0,África
Nigeria,223800000,923768.0,África
Dominica,67408,751.0,América
Luxemburgo,681973,2586.0,Europa
España,49315949,505992.0,Europa
Israel,10134800,20770.0,Asia
Singapur,6110200,710.0,Asia
Suecia,10605098,450295.0,Europa
Islandia,391810,103000.0,Europa
